OBJECTID,CAPTURE_ACCURACY,EQUIPMENT,DESCRIPTION,STATUS,OBJECT_TYPE_DESCRIPTION,Shape__Length
747,6,100044951,TUMUNAKO LOOP,OPEN,Walking Track,1475.25627913287
748,6,100044952,Jubilee track - Mt Ngongotaha,OPEN,Walking Track,1742.93806694211
749,2,100044954,HUT TO MCEWENS BAY TRACK,OPEN,Walking Track,1778.22095708576
750,2,100044958,Tautuku Hut Track,OPEN,Tramping Track,3781.70540168259
751,6,100044960,SEALY TARNS TO MUELLER HUT TRACK,OPEN,Tramping Track,1664.68830868399
752,2,100044962,Nth Temple Track,OPEN,Tramping Track,4936.86971853673
753,3,100044963,Sth Temple Track,OPEN,Tramping Track,6971.55294816346
754,2,100044964,Hopkins Track - Ram Hill to Huxley Gorge,OPEN,Tramping Track,12526.2465320792
755,6,100044965,Nth Elcho Stream Route,OPEN,Route,5778.06823542953
756,2,100044966,Deep Stream Walk,OPEN,Tramping Track,1243.33295567027
757,4,100044967,Dobson Valley Route,OPEN,Route,42335.7244824079
758,2,100044968,Maitland Stream Track,OPEN,Tramping Track,11641.1877503926
759,3,100044969,Upper Sth Temple Route,OPEN,Route,4779.56182976187
760,2,100044970,HINAU TK,OPEN,Short Walk,366.307333399688
761,2,100044971,WHAITIRI POINT LOOP,OPEN,Short Walk,404.079718607825
762,2,100044972,LOU'S LOOKOUT TK,OPEN,Short Walk,432.754796015041
763,6,100044973,ONEPOTO - LAKE KIRIOPUKAE TK,OPEN,Short Walk,421.70310318285
764,6,100044974,TE KURI W/WAY,OPEN,Walking Track,3217.85317077096
765,2,100044975,GRAY'S BUSH TRACK,OPEN,Short Walk,1004.34955976315
766,2,100044976,OKITU TK,OPEN,Walking Track,589.53790857844
767,2,100044978,COOKS COVE W/WAY,OPEN,Walking Track,2396.20377540123
768,2,100044980,WHINRAY TRACK,OPEN,Walking Track,5643.69966690168
769,3,100044982,Callaghans Walk,OPEN,Walking Track,1795.20061295617
770,2,100044983,Goffs Track,OPEN,Walking Track,887.903308982452
771,2,100044984,WHISKEY GULLY LOOP TRACK,OPEN,Walking Track,553.384673603913
772,2,100044986,WHISKY CREEK/POPPELWELLS TKS,OPEN,Walking Track,3420.1973534902
773,2,100044987,FORKS FLAT TK,OPEN,Walking Track,3629.68751630053
774,2,100044988,KINGSWOOD BUSH TK,OPEN,Walking Track,638.139349402
775,2,100044990,TRACK - VAILA VOE,OPEN,Walking Track,774.199981529481
776,2,100044991,TRACK - RYANS CREEK,OPEN,Walking Track,3852.98313161187
777,2,100044992,TRACK - GOLDEN BAY,OPEN,Walking Track,1770.89757248212
778,2,100044993,TRACK - OCEAN BEACH NORTH,OPEN,Walking Track,566.709078075383
779,2,100044994,N/S - CASHMORES TO TE REREATUKAHIA,OPEN,Route,3742.28064497041
780,2,100044995,Wharawhara Tramway TK,OPEN,Tramping Track,5454.81744167307
781,2,100044997,NTH-STH TK (REREATUKAHIA TO TUAHU),OPEN,Tramping Track,3353.03607010835
782,2,100044999,TE AROHA LINK TK,OPEN,Tramping Track,1291.20906216498
783,2,100045000,UPPER WAITAWHETA TK,OPEN,Tramping Track,3226.17388263109
784,2,100045002, NGATUHOA STREAM TK,OPEN,Tramping Track,6190.46143202481
785,6,100045003,Alice Nash H Lodge to Iron Gate Hut Tk,OPEN,Tramping Track,5489.79791751643
786,6,100045004,SHORTS - TOKA TK,OPEN,Tramping Track,4339.06044494809
787,6,100045005,IRON GATE HUT TO NGAMOKO RANGE TK,OPEN,Tramping Track,3995.05843838211
788,6,100045006,Jacks Pass to Mt Isobel Track,OPEN,Tramping Track,1771.43246049457
789,3,100045007,Hope/Kiwi - 3 Mile Stream Hut Track,OPEN,Tramping Track,7927.14102865087
790,5,100045008,MacMillian - 3 Mile Stream Hut Track,OPEN,Route,9994.21198362709
791,6,100045009,Mackenzie Stream Route,OPEN,Route,7949.564585593
792,3,100045010,Harper Pass Track,OPEN,Tramping Track,20594.9175498334
793,6,100045013,MOANUI TK - MOANUI TO KORANGA FORKS HUT,OPEN,Tramping Track,6754.59306953276
794,6,100045019,Oturere Hut to Emerald Lakes Track (TNC),OPEN,Great Walk,4375.55646430381
795,6,100045020,TE HAPUA TK EASEMENT,OPEN,Tramping Track,462.922717121444
796,6,100045023,TE PUIA HUT TO MAKINO HUT/MAKAHU RD TK J,OPEN,Tramping Track,1845.5339054408
797,6,100045024,MAKINO HUT TO TO BUSH EDGE,OPEN,Tramping Track,5731.94522132716
798,6,100045025,MAKINO HUT/BALLARD HUT TK - BALLARD HUT,OPEN,Tramping Track,3869.810701772
799,6,100045026,TE PUKEOHIKARUA HUT TO HARKNESS HUT TK,OPEN,Tramping Track,3735.91222262843
800,6,100045027,HARKNESS HUT TO TUSSOCK HUT Tk,OPEN,Tramping Track,5312.04638660727
801,6,100045028,TUSSOCK HUT TO NGARURORO RIVER TK,OPEN,Tramping Track,3611.73282760103
802,2,100045032,Tanekaha Ridge Track (Mataitai),CLSD,Tramping Track,467.680780098613
803,6,100045039,Old Chrome Road (Historic),OPEN,Track - historic,1419.71909130838
804,2,100045040,TRACK TUCKER COVE,OPEN,Tramping Track,1268.27621433005
805,2,100045062,BASIN VIEW TRAMPING TRACK,OPEN,Tramping Track,6050.58692020424
806,2,100045063,FLAT TOP TRAMPING TRACK,OPEN,Tramping Track,5664.47393256266
807,5,100045064,Douglas Valley Route,OPEN,Route,10445.387562825
808,2,100045065,Smoothwater/Smoothwater Bay Track,OPEN,Tramping Track,3974.06058759453
809,6,100045066,L MATIRI TK - WEST BRANCH TO 1000 AC JCN,OPEN,Tramping Track,4828.71968612837
810,2,100045067,BLACK GULLY TRACK,OPEN,Tramping Track,4425.38369475516
811,2,100045068,WHISKEY GULLY TK,OPEN,Tramping Track,1832.07402181307
812,2,100045069,GRANTS KNOB TK,OPEN,Tramping Track,2731.80879035517
813,5,100045070,CROMEL STM JCN TO IRTHING HUT ROUTE,OPEN,Route,4870.77718519285
814,5,100045071,UPPER APARIMA/SPENCE BURN ROUTE,OPEN,Route,10130.9548355983
815,5,100045072,L/WAIRAKI HUT - U/WAIRAKI HUT ROUTE,OPEN,Route,5368.94862035553
816,2,100045073,TURNBULLS TRAMPING TRACK,OPEN,Tramping Track,6352.01640752768
817,5,100045074,MT BURNS TK,OPEN,Tramping Track,385.910448038392
818,5,100045075,ELDRIG PEAK TK,OPEN,Tramping Track,2966.50009642723
819,2,100045076,Waianakarua Track,OPEN,Tramping Track,1447.26654328145
820,2,100045077,Allison Reserve - Jeff's Track,OPEN,Tramping Track,446.856249160415
821,2,100045078,McNally Walkway Track,OPEN,Tramping Track,5181.79849581352
822,2,100045079,Government Track,OPEN,Tramping Track,8241.54866967441
823,6,100045081,Maungatua Summit Track,OPEN,Route,5555.52033368177
824,6,100045082,Careys Creek Track,OPEN,Tramping Track,8806.93343387861
825,6,100045083,Black Gully Dam Track,OPEN,Tramping Track,415.519919580642
826,2,100045085,Silverpeaks Swampy Ridge Track NZWalkway,OPEN,Route,3819.64063576447
827,6,100045086,EAST-WEST -Mangatutara Hut to Oronui hut,OPEN,Route,12209.2942698967
828,5,100045087,Maitai Bay Headland Track,OPEN,Tramping Track,1653.25890250132
829,5,100045088,MONKEY ISLAND VIEWPOINT,OPEN,Walking Track,74.729705732655
830,2,100045089,TRACK - FUCHSIA WALK,OPEN,Walking Track,220.05395258116
831,2,100045090,TRACK - RAROA WALK,OPEN,Walking Track,515.882791674895
832,2,100045091,TRACK - RINGARINGA-WOHLERS POINT WALK,OPEN,Walking Track,159.574778969235
833,5,100045093,TE ANAU LAKESIDE WALK - YACHT CLUB TO WI,OPEN,Walking Track,741.214238978547
834,2,100045096,PIWAKAWAKA TRACK,OPEN,Walking Track,2174.66888601791
835,2,100045097,KAPUNI LOOP TK,OPEN,Walking Track,1241.88545019223
836,2,100045100,"Pudding Hill Stm Route, Mt Hutt Forest",OPEN,Route,7659.79849316557
837,6,100045101,Deer Spur to Little Mt Peel Tk,OPEN,Tramping Track,4074.94873050734
838,6,100045102,South Ridge Route,OPEN,Route,2880.78355501487
839,6,100045103,Mt Nimrod Track,OPEN,Tramping Track,3647.23482064156
840,6,100045104,Avalanche Peak Track,OPEN,Tramping Track,2616.18348694186
841,6,100045105,Scotts Track,OPEN,Tramping Track,3060.1412130172
842,2,100045106,Mt Aicken Track,OPEN,Tramping Track,1246.77196278059
843,6,100045107,Temple Basin Track,OPEN,Tramping Track,2095.94539293671
844,6,100045108,Otira Valley Track,OPEN,Tramping Track,1635.6918376202
845,6,100045109,Rolleston River Route,OPEN,Route,3632.88713041472
846,6,100045110,Deception Valley Route,OPEN,Route,14011.5583703997
847,6,100045111,Morrison Bridge to Pfeifer Ck FloodTrack,OPEN,Tramping Track,4595.53194040648
848,6,100045112,MANGAONE CAVES WALKING TRACK,OPEN,Walking Track,574.409898880131
849,6,100045113,BALLS CLEARING TKS,OPEN,Walking Track,977.809696307305
850,6,100045115,WILLIAM HARTREE MEMORIAL SR TK,OPEN,Walking Track,1084.33355722945
851,6,100045116,SHINE FALLS TK,OPEN,Walking Track,1913.45836214506
852,6,100045117,Campsite to Beach,OPEN,Walking Track,14376.7747538172
853,6,100045118,WAIPATIKI W/WAY,OPEN,Walking Track,2398.26278065194
854,6,100045119,WHITE PINE BUSH PATH,OPEN,Short Walk(disabled),467.831217159346
855,6,100045120,WHITE PINE BUSH WALK,OPEN,Walking Track,687.788235838422
856,6,100045121,TANGOIO FALLS TK,OPEN,Walking Track,3631.21085663617
857,6,100045122,WHAKAMARATANGA W/WAY,OPEN,Walking Track,1183.01831652745
858,6,100045123,ELSTHORPE WALK,OPEN,Walking Track,1465.69230593442
859,2,100045124,TRACK - OCEAN BEACH STH,OPEN,Walking Track,1074.1281312777
860,5,100045125,STOCKYARD COVE TK,OPEN,Tramping Track,1100.64698881746
861,5,100045126,WILSON'S RIVER TRAMWAY,OPEN,Track - historic,7465.75890409199
862,2,100045128,Denniston Historic Walks,OPEN,Walking Track,1190.43682701734
863,2,100045129,TRACK - MID JUNCTION-BOULDER-WEST END CI,OPEN,Walking Track,2741.61392327758
864,2,100045131,MT CRICHTON LOOP TK,OPEN,Walking Track,6391.74656905305
865,2,100045132,LAKE DISPUTE W/WAY,OPEN,Walking Track,2847.83910216264
866,2,100045134,OXENBRIDGE TUNNEL TK,OPEN,Walking Track,587.950289331241
867,6,100045140,WAIKAMAKA HUT TO RANGI CREEK TK,OPEN,Tramping Track,1324.09014900609
868,6,100045142,Makara Road End to Opau Stream mouth,OPEN,Walking Track,167.539694553787
869,6,100045143,TOKOMARU VALLEY/BURTTONS TRACK,OPEN,Tramping Track,12803.3264222106
870,6,100045146,HOLDSWORTH LOOKOUT TRACK,OPEN,Tramping Track,635.383377407122
871,6,100045160,Pfeifer Creek to Harper Pass Track,OPEN,Tramping Track,23641.8390524515
872,6,100045162,Woolshed Hill Track,OPEN,Tramping Track,2058.78325670582
873,6,100045163,Crow Valley Track,OPEN,Tramping Track,6126.32780038539
874,6,100045164,Bealey Bridge to Anti Crow Hut Track,OPEN,Tramping Track,4138.01656498565
875,5,100045165,Cass - Lagoon Saddle Track Coral Lynn Ro,OPEN,Tramping Track,5778.84252178141
876,5,100045166,Cass Lagoon Saddle Track- Lagoon Saddle,OPEN,Tramping Track,15133.1056240535
877,4,100045167,Cass Lagoon Saddle Track: SH73 to Cass,OPEN,Tramping Track,10768.7094294681
878,3,100045168,Poulter River Track,OPEN,Tramping Track,19506.5493726149
879,6,100045169,Andrews Valley Track-Andrews Shelter Tra,OPEN,Tramping Track,13599.7375770167
880,4,100045170,Casey Hut to Poulter Hut Track,OPEN,Tramping Track,8179.93562450131
881,2,100045172,Porters Hut to R. Branch Motueka River,OPEN,Route,6502.13846949004
882,2,100045173,Inwoods /Gordons Range Route,OPEN,Route,7738.64851127214
883,2,100045174,Mt Ellis bushline to Left Branch Mot Riv,OPEN,Route,3616.90613505521
884,6,100045175,ROBERT RIDGE ROUTE,OPEN,Tramping Track,9160.86255334164
885,2,100045177,Cape Wanbrow Walking Track,OPEN,Walking Track,340.363313286752
886,6,100045185,YEOMANS TK,OPEN,Tramping Track,3965.72555918367
887,6,100045196,Bushy Beach Viewing Walking Track,OPEN,Walking Track,228.156585673495
888,6,100045197,Hawksbury Lagoon / Matainaka Walk,OPEN,Walking Track,1401.4745243563
889,2,100045198,Huriawa Pa Walking Track,OPEN,Walking Track,955.570482533494
890,6,100045199,Mapoutahi Pa Walking Track,OPEN,Walking Track,207.061534551196
891,4,100045200,Long Beach / Warauwerawera Walk,OPEN,Walking Track,296.697279978604
892,2,100045203,Sandfly Bay Walking Track,OPEN,Walking Track,573.315182061025
893,2,100045205,Highcliff Track,OPEN,Tramping Track,3219.65542077954
894,6,100045207,Mount Stuart Tunnel Walking Track,OPEN,Walking Track,692.340633740207
895,6,100045208,HERITAGE LODGE TO TUNUPO TK,OPEN,Tramping Track,5212.13108988028
896,6,100045210,NO. 1 LINE TRACK,OPEN,Tramping Track,2161.88361656163
897,6,100045211,OPAWE ROAD TO MAHARAHARA,OPEN,Tramping Track,5157.01648643303
898,6,100045213,NGAMOKO HUT TO NGAMOKO RANGE TK,OPEN,Tramping Track,2203.77246592639
899,6,100045214,LEON KINVIG HUT TO MAIN RANGE TK,OPEN,Tramping Track,1952.15279433397
900,6,100045215,LEON KINVIG HUT TO TOKA,OPEN,Tramping Track,2627.7674042587
901,6,100045216,MCKINNON HUT TO KAWHATAU RIVER TK,OPEN,Tramping Track,1505.66712505016
902,6,100045217,Ruahine Corner to Potae High Point,OPEN,Tramping Track,2584.55167799123
903,2,100045218,PUKAREAO ACCESS TK,OPEN,Tramping Track,12721.6000343094
904,6,100045219,OHUTU TO DUCKVILLE TK,OPEN,Tramping Track,8289.09364197455
905,2,100045238,TRACK - NW CIRCUIT JUCTION TO GARDEN COV,OPEN,Tramping Track,9174.46265212704
906,2,100045239,North Opuha Track,OPEN,Tramping Track,7087.64937106588
907,2,100045241,Homestead Hill Easement,OPEN,Tramping Track,1209.50916395531
908,5,100045248,Kohuroanaki Loop Track,OPEN,Tramping Track,6201.07807310845
909,2,100045251,SIX FOOT TRACK,OPEN,Tramping Track,3786.09278251336
910,5,100045252,WAOKU COACH RD W/WAY (WAIMA TO TUTAMOE),OPEN,Tramping Track,22946.8609435036
911,5,100045253,MOUNT TUTAMOE TK,OPEN,Tramping Track,3033.86238410051
912,6,100045255,WAIOTAKA ANGLERS ACCESS TK,OPEN,Tramping Track,3139.54188776911
913,2,100045257,Granity Creek Track,OPEN,Tramping Track,2120.64639587544
914,2,100045258,Kiwi Track,OPEN,Tramping Track,8180.33836494204
915,6,100045259,End grass flats to Cecil Kings Hut,OPEN,Tramping Track,9071.11747981115
916,2,100045261,Lost Valley Track,OPEN,Tramping Track,3466.87443780607
917,2,100045265,Ben Nevis Track,OPEN,Tramping Track,4569.40672348162
918,6,100045266,Starveall - Slaty alpine route,OPEN,Route,8710.88214424753
919,2,100045267,Chromite Mine Track,OPEN,Tramping Track,912.302161949923
920,6,100045268,6' Tk Jnc near Te Panaa to Taurawharona,OPEN,Tramping Track,8316.0660923036
921,2,100045269,OTAMATUNA RIDGE TK,OPEN,Tramping Track,6823.98869968188
922,2,100045270,OTAPUKAWA-OTAMATUNA TRK,OPEN,Tramping Track,5817.77952449735
923,6,100045271,POHATU TK - OHORA HUT TO START OF BENCH,OPEN,Tramping Track,7231.6683644668
924,6,100045272,POHATU TK - MATAHI RD TO END OF BENCH TK,OPEN,Tramping Track,4193.59681120505
925,6,100045273,PAKIHI TK - PAKIHI HUT TO PAKIHI ROADEND,OPEN,Easy Tramping Track,8491.53356588582
926,6,100045274,PAKIHI TK - MOTU RD TO PAKIHI HUT,OPEN,Easy Tramping Track,9806.89646569209
927,6,100045275,MANGAPUMARUMARU TK,OPEN,Tramping Track,5626.00892874471
928,6,100045277,TAWHANA-TE PUA TK,OPEN,Tramping Track,5140.65015506132
929,6,100045278,TE PANAA - TE PUA TK,OPEN,Tramping Track,3704.6187620027
930,6,100045279,TATAWEKA HUT TO JUNCTION WITH TE PUA -OT,OPEN,Route,11500.7846410373
931,5,100045281,DUSKY TK - LOCH MAREE HUT TO SUPPER COVE,OPEN,Tramping Track,12500.9405771659
932,5,100045282,DUSKY TK - UPPER SPEY HUT TO KINTAIL HUT,OPEN,Tramping Track,6544.37985539186
933,2,100045283,DUSKY TK - WILMOT PASS RD TO UPPER SPEY,OPEN,Tramping Track,9005.02319657592
934,5,100045284,Karamea Gorge Route CLOSED,CLSD,Route,7582.45094812873
935,6,100045285,Mt Stormy Route,OPEN,Route,5276.6990197291
936,5,100045286,Belltown Hut to Wangapeka Bivvy Route,OPEN,Route,5218.74883584572
937,5,100045287,Wangapeka Bivvy to Little Wanganui Sddle,OPEN,Route,2416.50738141432
938,5,100045288,Buckland Peaks Track,OPEN,Tramping Track,4525.12465940392
939,1,100045289,Tiropahi Track - NM,OPEN,Tramping Track,5136.11339374268
940,6,100045290,Fossil Creek to Bullock Creek Rd,OPEN,Tramping Track,7078.17383025331
941,5,100045291,Fox River Cave Junctn to Fossil Ck Pt,OPEN,Tramping Track,6304.86394736439
942,6,100045293,KAIHOKA LAKES WALK,OPEN,Walking Track,599.219640817553
943,2,100045294,PUPONGA MINE TK,OPEN,Walking Track,393.775539429814
944,2,100045295,WASHBOURN TK,OPEN,Walking Track,804.24634410536
945,6,100045298,Mt Oxford Track,OPEN,Tramping Track,4896.56801099749
946,6,100045299,Canton Battery Walking Track,OPEN,Walking Track,171.937549670489
947,6,100045300,WAIHUA HUT - CASINO BIVY,OPEN,Tramping Track,5780.54890529182
948,2,100045304,Okuti Valley Track,OPEN,Short Walk,350.388221790291
949,6,100045305,OTEPATOTU SR Track,OPEN,Walking Track,1441.6697528833
950,2,100045306,Otukaikino wetland Track,OPEN,Short Walk(disabled),1028.60413902309
951,6,100045317,JUNCTION HUT TRACK,OPEN,Tramping Track,7695.51011726158
952,2,100045325,CROWN RANGE SUMMIT TO ROCK PEAK TRACK,OPEN,Walking Track,3868.42938221019
953,6,100045340,OTAPUKAWA HUT TO OTANE STM CONFLUENCE TK,OPEN,Route,8083.37867737619
954,6,100045341,TE PUA - OTANE TK,OPEN,Tramping Track,2841.7757782979
955,6,100045342,TAUWHARE/TAWHANA TK JUNC. to Whakatane R,OPEN,Tramping Track,12644.9533270485
956,2,100045343,APITI/WAIPOTIKI TK - SADDLE BIV (MANGAWA,OPEN,Route,3155.23380855453
957,6,100045344,TE U TK (WAIOTAHI/KAHAROA STREAM),OPEN,Route,15185.489113189
958,6,100045345,EAST-WEST PARK BOUNDARY TO ORONUI HUT,OPEN,Route,4871.96551480725
959,6,100045346,MATIRI VALLEY TK (1000 AC JCN TO MCC H),OPEN,Tramping Track,8128.47082575154
960,6,100045347,MATIRI VALLEY TK (HUR HUT TO BUSHLINE),OPEN,Tramping Track,1421.58862271024
961,6,100045348,MATIRI VALLEY TK (MCC HUT TO HUR HUT),OPEN,Tramping Track,12356.4204311606
962,6,100045349,1000 ACRES (1000 AC JCN TO PP HUT),OPEN,Tramping Track,4382.03102734806
963,6,100045350,JOHNSON CREEK TRACK,OPEN,Tramping Track,2127.00398926787
964,2,100045351,Kirwans Hut to Mont. Hut Track,OPEN,Tramping Track,9105.28872909939
965,2,100045352,Gannons to Capleston Track,OPEN,Tramping Track,3231.07713487056
966,2,100045353,Kirwans Hill Route,OPEN,Route,973.908720959185
967,2,100045354,Waitahu-Murray Connecting Track,OPEN,Tramping Track,2508.35867442522
968,2,100045355,Mt Haast Route,OPEN,Route,2052.14802824193
969,2,100045356,Klondyke Spur Track,OPEN,Tramping Track,1677.40700135535
970,2,100045357,Klondyke Valley Track,OPEN,Tramping Track,3730.84742859746
971,2,100045358,Road-Lk Christabel(west end) Track,OPEN,Tramping Track,9600.67351044163
972,2,100045359,Lk Christabel(west end) to Hut Track,OPEN,Tramping Track,5928.21935698059
973,2,100045360,Lk Christabel Hut - Rough Saddle Track,OPEN,Tramping Track,4867.81543072327
974,2,100045361,Rough Saddle - State Highway 7 Track,OPEN,Tramping Track,4133.65996031897
975,2,100045362,WATTLE TRACK TIRITIRI,OPEN,Walking Track,960.261949421636
976,2,100045363,GREEN LAKE TK JNCTN/RODGER INLET TK,OPEN,Tramping Track,7878.18375893482
977,5,100045364,LAKE HAUROKO LOOKOUT TK,OPEN,Tramping Track,3075.5265388038
978,5,100045365,LAKE HAUROKO CRPK TO SECOND BAY TK,OPEN,Tramping Track,4859.09831154684
979,2,100045366,TRACK - FERN GULLY,OPEN,Tramping Track,1188.37301661846
980,2,100045367,TRACK - GARDEN MOUND,OPEN,Tramping Track,1873.76078235865
981,2,100045368,TRACK- PRYSE PEAK ROUTE,OPEN,Route,3458.76228061616
982,2,100045369,TRACK- NTH ARM TO FRESHWATER HUT,OPEN,Tramping Track,10635.5114542993
983,2,100045370,TRACK - RAKEAHUA LANDING TO HUT,OPEN,Tramping Track,403.573133699529
984,2,100045373,DEADMANS ROUTE,OPEN,Route,4194.09280888563
985,5,100045374,GRAVE - TALBOT ROUTE,OPEN,Route,4539.18118058655
986,6,100045375,WAIMARINO ANGLERS ACCESS TK,OPEN,Tramping Track,2735.94622616645
987,6,100045380,ROUND THE MTN TK - MAKATOTE TO LAKE SURP,OPEN,Tramping Track,4261.14373020398
988,6,100045381,ROUND THE MTN TK - MANGATURUTURU HUT TO,OPEN,Tramping Track,1585.91406597026
989,6,100045382,ROUND THE MTN TK - OHAKUNE RD TO MANGATU,OPEN,Tramping Track,3032.17077771991
990,6,100045383,ROUND THE MTN TK - MANGAEHUEHU TO WAHIAN,OPEN,Tramping Track,7487.0540937515
991,6,100045384,HOROPITO TK,OPEN,Tramping Track,7512.91626022056
992,6,100045385,OLD BLYTH TRACK,OPEN,Tramping Track,5308.43205996969
993,3,100045387,Fosters Ridge Track,OPEN,Tramping Track,4305.31770409321
994,6,100045388,Lower Salmon Creek Route,OPEN,Route,3549.7158798982
995,6,100045389,Blowhard Track,OPEN,Tramping Track,9508.60662323984
996,6,100045390,Youngman Stream Track,OPEN,Tramping Track,13122.5973044017
997,2,100045391,Tarn Hut Track,OPEN,Tramping Track,9499.70621068687
998,2,100045392,Pinchgut Track,OPEN,Tramping Track,5697.87251729447
999,2,100045395,Nikau Plam Gully Track,OPEN,Tramping Track,5075.81323350774
1000,2,100045396,Summit WWay  Mt Herbert to Port Levy,OPEN,Tramping Track,5173.91660892025
3001,6,100045563,NGAHERE LOOP TK,OPEN,Tramping Track,1503.31415411504
3002,6,100045586,COMET ROADEND TO TARUARAU RIVER,OPEN,Tramping Track,4766.50898512426
3003,6,100044623,RUAHINE HUT TO SHUTES HUT TK,OPEN,Tramping Track,10401.9868756028
3004,6,100045735,NO MANS RD-DIANES HUT - TARUARAU BIV TR,OPEN,Tramping Track,1882.17111664752
3005,6,100044627,MASTERS SHELTER -GOLDEN CROWN RIDGE,OPEN,Tramping Track,4047.87304461135
3006,6,100066118,TAMAKI WEST ROADEND TO A FRAME HUT TK,OPEN,Tramping Track,2456.58052152648
3007,6,100045209,TAKAPARI ROAD TO DIGGERS,OPEN,Tramping Track,5719.93799049747
3008,6,100038259,MAKAHIKA BUSH EDGE TO MANGAHAO ROAD,OPEN,Tramping Track,11115.9015591427
3009,6,100045012,NO 2 DAM TO COLLEGE CREEK,OPEN,Tramping Track,10313.8713414593
3010,6,100042118,PANATEWAEWAE RIDGE TRACK,OPEN,Tramping Track,3102.98888798483
3011,6,100066109,WAIKOPIRO TK,OPEN,Walking Track,1447.08013026078
3012,6,100066078,Lake Tutira Walkway - R Rd to L Tutira,OPEN,Tramping Track,4523.84096187482
3013,6,100044622,Kahikanui Track,OPEN,Tramping Track,2084.74241564627
3014,2,100066630,KEPLER TK - RAINBOW REACH TO TE ANAU CON,OPEN,Walking Track,9613.07586320838
3015,6,100030257,MID WAIOHINE HUT TO AOKAPARANGI JUNCTION,OPEN,Tramping Track,3657.09370168335
3016,6,100045695,ANDERSON MEMORIAL HUT TO MAUNGAHUKA HUT,OPEN,Tramping Track,9013.48278434021
3017,4,100039856,Taumarumaru Coastal Track,OPEN,Short Walk,2476.06721155378
3018,6,100044621,Galbraith Track,OPEN,Tramping Track,3325.66059633001
3019,6,100040218,ARCUS LOOP TRACK,OPEN,Walking Track,2995.64809618522
3020,6,100044827,MCKERROW TRACK,OPEN,Tramping Track,6823.88223427766
3021,6,100066391,BIG BEND TRACK,OPEN,Easy Tramping Track,3105.24228195823
3022,6,100046181,LOWER WAIOHINE TRACK,OPEN,Easy Tramping Track,8647.19509324382
3023,6,100045144,FIELD HUT TO KIME HUT,OPEN,Tramping Track,4748.22058185529
3024,6,100039293,KAPAKAPANUI HUT TO NGATIAWA/KAPAPAKAPA,OPEN,Tramping Track,5799.70935377496
3025,6,100066393,WAINGAWA RIVER TRACK,OPEN,Tramping Track,6393.50819987697
3026,6,100044824,BLOCK XVI TRACK,OPEN,Tramping Track,2246.09090270127
3027,6,100030258,CONE PEAK TO MT HECTOR - NEILL WINCHCOMB,OPEN,Route,7190.94231418173
3028,6,100032259,MID POHANGINA TK TO TAKAPARI ROAD VIA CE,OPEN,Tramping Track,1750.75849043029
3029,2,100031348,DEAN TK,OPEN,Walking Track,2126.51667700799
3030,5,100046282,LAKE GUNN NATURE WALK,OPEN,Short Walk,1283.26650076439
3031,2,100091146,DELTA LAKESHORE TRACK,OPEN,Walking Track,344.817083546908
3032,2,100085297,Hogs Back Track,OPEN,Easy Tramping Track,10447.3964003327
3033,2,100103619,Water Intake Track,OPEN,Easy Tramping Track,809.099293710206
3034,2,100040415,WAIKAHOA CAMPSITE TRACK,OPEN,Walking Track,267.04203594538
3035,2,100065993,TOHUMOANA LOOKOUT TRACK,OPEN,Walking Track,4331.69269931255
3036,6,100044547,PENINSULA LOOP WALK,OPEN,Walking Track,4850.99403123556
3037,2,100045135,CRYSTAL BATTERY TK,OPEN,Tramping Track,2078.31612224504
3038,2,100042996,BULLENDALE TRACK,OPEN,Tramping Track,7954.40062757829
3039,2,100046059,Moraine Walk Fox Glacier,OPEN,Short Walk,590.252201890042
3040,2,100089989,Glacier View (River Walk Disabled),OPEN,Short Walk(disabled),347.853213865987
3041,2,100039144,Te Tahi Cave Track,OPEN,Tramping Track,69.1543597761478
3042,5,100066795,Mt Glasgow Route - NM,OPEN,Route,4916.07841129348
3043,6,100122828,New Era Branch,OPEN,Tramping Track,501.693401938233
3044,6,100044998,Water Race Track,OPEN,Tramping Track,795.652409153751
3045,6,100122825,Piako County Tramway,OPEN,Tramping Track,1571.93510714001
3046,2,100066381,BUTLERS INCLINE TK,OPEN,Tramping Track,384.652769699527
3047,6,100044344,WAIORONGOMAI - HIGH LEVEL TK,OPEN,Tramping Track,3183.59648708545
3048,6,100087307,Anaconda Mt Bike Track,OPEN,Walking Track,1764.38719352637
3049,2,100122326,Black Rock Walking Track,OPEN,Walking Track,1090.99389238368
3050,2,100066593,FLOWER BROTHERS WALK,OPEN,Short Walk,176.019141929232
3051,2,100066594,ROTOROA NATURE WALK,OPEN,Walking Track,913.273328903542
3052,6,100038924,LEATHAM WET WEATHER TRACK,OPEN,Tramping Track,6503.48328560535
3053,2,100098581,Red Tape MTB Track,OPEN,Tramping Track,2058.42952777557
3054,2,100045967,TIMMS CK ROADEND TO TIMMS FORKS,OPEN,Tramping Track,5718.1032038624
3055,2,100097755,Picnic Pond Loop Track,OPEN,Walking Track,251.865382593467
3056,2,100066579,Omaha Cove Walk,OPEN,Walking Track,727.73184538713
3057,6,100066914,N/S TK - CASHMORES TK TO PUKEKOHATU PK,OPEN,Route,7562.92514514742
3058,2,100044757,BLACK REEF TRACK.,OPEN,Tramping Track,1056.8694860434
